省编码	省名称	市编码	市名称	区县编码	区县名称	百姓省	市代码	百姓市	区县代码	百姓区县
130000	河北省	130700	张家口市	130727	阳原县	河北	zhangjiakou	张家口	m6768	阳原
130000	河北省	130700	张家口市	130728	怀安县	河北	zhangjiakou	张家口	m6767	怀安
130000	河北省	130700	张家口市	130729	万全县	河北	zhangjiakou	张家口	m6766	万全
130000	河北省	130700	张家口市	130731	涿鹿县	河北	zhangjiakou	张家口	m6764	涿鹿
130000	河北省	130700	张家口市	130732	赤城县	河北	zhangjiakou	张家口	m6763	赤城
130000	河北省	130700	张家口市	130733	崇礼县	河北	zhangjiakou	张家口	m6762	崇礼
130000	河北省	130800	承德市	130801	市辖区	河北	chengde	承德	m6758	承德
130000	河北省	130800	承德市	130802	双桥区	河北	chengde	承德	m6758	承德
130000	河北省	130800	承德市	130803	双滦区	河北	chengde	承德	m6760	双滦
130000	河北省	130800	承德市	130804	鹰手营子矿区	河北	chengde	承德	m6759	鹰手营子
130000	河北省	130800	承德市	130821	承德县	河北	chengde	承德	m6758	承德
130000	河北省	130800	承德市	130822	兴隆县	河北	chengde	承德	m6757	兴隆
130000	河北省	130800	承德市	130823	平泉县	河北	chengde	承德	m6756	平泉
130000	河北省	130800	承德市	130824	滦平县	河北	chengde	承德	m6755	滦平
130000	河北省	130800	承德市	130825	隆化县	河北	chengde	承德	m6754	隆化
130000	河北省	130800	承德市	130826	丰宁满族自治县	河北	chengde	承德	m6753	丰宁
130000	河北省	130800	承德市	130827	宽城满族自治县	河北	chengde	承德	m6752	宽城
130000	河北省	130800	承德市	130828	围场满族蒙古族自治县	河北	chengde	承德	m6751	围场
130000	河北省	130900	沧州市	130901	市辖区					
130000	河北省	130900	沧州市	130902	新华区	河北	cangzhou	沧州	m6725	新华
130000	河北省	130900	沧州市	130903	运河区	河北	cangzhou	沧州	m6726	运河
130000	河北省	130900	沧州市	130921	沧县	河北	cangzhou	沧州	m6719	沧县
130000	河北省	130900	沧州市	130922	青县	河北	cangzhou	沧州	m6718	青县
130000	河北省	130900	沧州市	130923	东光县	河北	cangzhou	沧州	m6717	东光
130000	河北省	130900	沧州市	130924	海兴县	河北	cangzhou	沧州	m6716	海兴
130000	河北省	130900	沧州市	130925	盐山县	河北	cangzhou	沧州	m6715	盐山
130000	河北省	130900	沧州市	130926	肃宁县	河北	cangzhou	沧州	m6714	肃宁
130000	河北省	130900	沧州市	130927	南皮县	河北	cangzhou	沧州	m6713	南皮
130000	河北省	130900	沧州市	130928	吴桥县	河北	cangzhou	沧州	m6712	吴桥
130000	河北省	130900	沧州市	130929	献县	河北	cangzhou	沧州	m6711	献县
130000	河北省	130900	沧州市	130981	泊头市	河北	cangzhou	沧州	m6723	泊头
130000	河北省	130900	沧州市	130982	任丘市	河北	cangzhou	沧州	m6722	任丘
130000	河北省	130900	沧州市	130983	黄骅市	河北	cangzhou	沧州	m6721	黄骅
130000	河北省	130900	沧州市	130984	河间市	河北	cangzhou	沧州	m6720	河间
130000	河北省	131000	廊坊市	131001	市辖区					
130000	河北省	131000	廊坊市	131002	安次区	河北	langfang	廊坊	m6736	安次
130000	河北省	131000	廊坊市	131003	广阳区	河北	langfang	廊坊	m6735	广阳
130000	河北省	131000	廊坊市	131022	固安县	河北	langfang	廊坊	m6734	固安
130000	河北省	131000	廊坊市	131023	永清县	河北	langfang	廊坊	m6733	永清
130000	河北省	131000	廊坊市	131024	香河县	河北	langfang	廊坊	m6732	香河
130000	河北省	131000	廊坊市	131025	大城县	河北	langfang	廊坊	m6731	大城
130000	河北省	131000	廊坊市	131026	文安县	河北	langfang	廊坊	m6730	文安
130000	河北省	131000	廊坊市	131028	大厂回族自治县	河北	langfang	廊坊	m6729	大厂
130000	河北省	131000	廊坊市	131081	霸州市	河北	langfang	廊坊	m6728	霸州
130000	河北省	131000	廊坊市	131082	三河市	河北	langfang	廊坊	m6727	三河
130000	河北省	131100	衡水市	131101	市辖区					
130000	河北省	131100	衡水市	131102	桃城区	河北	hengshui	衡水	m6709	桃城
130000	河北省	131100	衡水市	131121	枣强县	河北	hengshui	衡水	m6708	枣强
130000	河北省	131100	衡水市	131122	武邑县	河北	hengshui	衡水	m6707	武邑
130000	河北省	131100	衡水市	131123	武强县	河北	hengshui	衡水	m6706	武强
130000	河北省	131100	衡水市	131124	饶阳县	河北	hengshui	衡水	m6705	饶阳
130000	河北省	131100	衡水市	131125	安平县	河北	hengshui	衡水	m6704	安平
130000	河北省	131100	衡水市	131126	故城县	河北	hengshui	衡水	m6703	故城
130000	河北省	131100	衡水市	131127	景县	河北	hengshui	衡水	m6702	景县
130000	河北省	131100	衡水市	131128	阜城县	河北	hengshui	衡水	m6701	阜城
130000	河北省	131100	衡水市	131181	冀州市	河北	hengshui	衡水	m6700	冀州
130000	河北省	131100	衡水市	131182	深州市	河北	hengshui	衡水	m6699	深州
140000	山西省	140100	太原市	140101	市辖区					
140000	山西省	140100	太原市	140105	小店区	山西	taiyuan	太原	m6651	小店
140000	山西省	140100	太原市	140106	迎泽区	山西	taiyuan	太原	m6650	迎泽
140000	山西省	140100	太原市	140107	杏花岭区	山西	taiyuan	太原	m6652	杏花岭
140000	山西省	140100	太原市	140108	尖草坪区	山西	taiyuan	太原	m6649	尖草坪
140000	山西省	140100	太原市	140109	万柏林区	山西	taiyuan	太原	m6648	万柏林
140000	山西省	140100	太原市	140121	清徐县	山西	taiyuan	太原	m6645	清徐
140000	山西省	140100	太原市	140122	阳曲县	山西	taiyuan	太原	m6644	阳曲
140000	山西省	140100	太原市	140123	娄烦县	山西	taiyuan	太原	m6643	娄烦
